Date,Close,High,Low,Open,Volume,Returns,Log_Returns,MA_10,MA_50,Volatility
2010-03-17,5231.89990234375,5260.5,5177.14990234375,5198.4501953125,130900.0,0.006502338172121647,0.006481289167163449,5134.0,5028.951005859375,0.007402846958307375
2010-03-18,5245.89990234375,5255.64990234375,5214.39990234375,5232.5498046875,130900.0,0.002675892173267469,0.0026723183478340206,5150.564990234375,5029.225,0.0071462277073267196
2010-03-19,5262.7998046875,5269.9501953125,5237.10009765625,5246.7998046875,130900.0,0.003221544950981592,0.0032163668929633504,5167.974951171875,5028.922998046875,0.00685183451156978
2010-03-22,5205.2001953125,5260.9501953125,5187.0498046875,5260.9501953125,130900.0,-0.010944670424988812,-0.011005003954608747,5176.094970703125,5027.391005859375,0.007074504435777023
2010-03-23,5225.2998046875,5243.60009765625,5193.39990234375,5205.85009765625,130900.0,0.003861447902253623,0.003854011649290952,5188.474951171875,5026.635,0.007068565528937639
2010-03-25,5260.39990234375,5267.2998046875,5202.9501953125,5225.2998046875,130900.0,0.006717336606171909,0.006694875828928294,5202.88994140625,5026.947998046875,0.007096878600606689
2010-03-26,5282.0,5293.75,5260.5498046875,5260.5498046875,130900.0,0.004106170264094544,0.004097762953683076,5217.749951171875,5027.6,0.0069434027988543884
2010-03-29,5302.85009765625,5329.5498046875,5242.14990234375,5283.89990234375,130900.0,0.003947386909551209,0.003939616419884685,5234.3349609375,5029.44900390625,0.006880960644798886
2010-03-30,5262.4501953125,5325.0,5251.35009765625,5302.9501953125,130900.0,-0.007618526188701069,-0.007647695404744314,5247.689990234375,5030.01900390625,0.007075112816620933
2010-03-31,5249.10009765625,5293.89990234375,5235.14990234375,5260.39990234375,130900.0,-0.0025368596681716316,-0.0025400829491546485,5252.789990234375,5029.8030078125,0.006114936455709395
2010-04-01,5290.5,5298.60009765625,5249.2001953125,5249.2001953125,130900.0,0.007887047603118758,0.00785610742115299,5258.65,5030.56900390625,0.005612597835342119
2010-04-05,5368.39990234375,5377.5498046875,5291.39990234375,5291.39990234375,130900.0,0.014724487731547109,0.014617134988492871,5270.9,5032.44,0.006222701219173892
2010-04-06,5366.0,5388.64990234375,5351.7001953125,5369.64990234375,130900.0,-0.00044704239389881106,-0.0004471423471397832,5281.22001953125,5035.247001953125,0.006260423270568969
2010-04-07,5374.64990234375,5399.64990234375,5345.0498046875,5365.7001953125,130900.0,0.0016119832917909083,0.0016106854412794307,5298.164990234375,5038.30599609375,0.006182380946478591
2010-04-08,5304.4501953125,5383.64990234375,5290.25,5376.2998046875,130900.0,-0.013061261348508935,-0.013147309710539474,5306.080029296875,5042.512001953125,0.0069416428630628794
2010-04-09,5361.75,5377.4501953125,5302.25,5302.39990234375,130900.0,0.010802213722005627,0.010744286598761555,5316.2150390625,5049.027001953125,0.007216526607105066
2010-04-12,5339.7001953125,5382.14990234375,5324.89990234375,5354.14990234375,130900.0,-0.0041124268545716935,-0.004120906136825128,5321.98505859375,5055.6630078125,0.007354812283515221
2010-04-13,5322.9501953125,5356.5,5301.7001953125,5340.85009765625,130900.0,-0.0031368802343442193,-0.0031418105563994977,5323.995068359375,5065.060009765625,0.007440000778330668
2010-04-15,5273.60009765625,5373.14990234375,5265.2998046875,5323.2998046875,130900.0,-0.009271192824555907,-0.009314437828800527,5325.11005859375,5073.18701171875,0.007813671586133648
2010-04-16,5262.60009765625,5283.0498046875,5237.5498046875,5273.39990234375,130900.0,-0.0020858616118595297,-0.0020880400510003044,5326.46005859375,5080.798017578125,0.007307054363821342
2010-04-19,5203.64990234375,5279.0498046875,5160.89990234375,5279.0498046875,130900.0,-0.01120172428430466,-0.011264936095264202,5317.775048828125,5086.87701171875,0.007625207205244684
2010-04-20,5230.10009765625,5257.25,5208.2998046875,5208.2998046875,130900.0,0.0050830082363124696,0.005070133360250802,5303.945068359375,5094.87701171875,0.007692405209892911
2010-04-21,5244.89990234375,5266.2998046875,5230.2998046875,5230.2998046875,130900.0,0.0028297364125271507,0.0028257402454029998,5291.83505859375,5101.1380078125,0.007683934361752349
2010-04-22,5269.35009765625,5331.7998046875,5221.10009765625,5248.60009765625,130900.0,0.004661708663224351,0.004650876550451328,5281.305078125,5109.6180078125,0.007312652536914828
2010-04-23,5304.10009765625,5311.0498046875,5269.64990234375,5269.64990234375,130900.0,0.006594741164656526,0.006573090991872485,5281.270068359375,5121.32701171875,0.007401071238902975
